Postcode,Plaatsnaam,Deelgemeente,Hoofdgemeente,Provincie
2940,Hoevenen,Ja,STABROEK,ANTWERPEN
2940,Stabroek,Neen,STABROEK,ANTWERPEN
2950,Kapellen,Neen,KAPELLEN,ANTWERPEN
2960,Brecht,Neen,BRECHT,ANTWERPEN
2960,Sint-Job-in-'t-Goor,Ja,BRECHT,ANTWERPEN
2960,Sint-Lenaarts,Ja,BRECHT,ANTWERPEN
2970,'s Gravenwezel,Ja,SCHILDE,ANTWERPEN
2970,Schilde,Neen,SCHILDE,ANTWERPEN
2980,Halle,Ja,ZOERSEL,ANTWERPEN
2980,Zoersel,Neen,ZOERSEL,ANTWERPEN
2990,Loenhout,Ja,WUUSTWEZEL,ANTWERPEN
2990,Wuustwezel,Neen,WUUSTWEZEL,ANTWERPEN
3000,Leuven,Neen,LEUVEN,VLAAMS-BRABANT
3001,Heverlee,Ja,LEUVEN,VLAAMS-BRABANT
3010,Kessel Lo,Ja,LEUVEN,VLAAMS-BRABANT
3012,Wilsele,Ja,LEUVEN,VLAAMS-BRABANT
3018,Wijgmaal,Ja,LEUVEN,VLAAMS-BRABANT
3020,Herent,Neen,HERENT,VLAAMS-BRABANT
3020,Veltem-Beisem,Ja,HERENT,VLAAMS-BRABANT
3020,Winksele,Ja,HERENT,VLAAMS-BRABANT
3040,Huldenberg,Neen,HULDENBERG,VLAAMS-BRABANT
3040,Loonbeek,Ja,HULDENBERG,VLAAMS-BRABANT
3040,Neerijse,Ja,HULDENBERG,VLAAMS-BRABANT
3040,Ottenburg,Ja,HULDENBERG,VLAAMS-BRABANT
3040,Sint-Agatha-Rode,Ja,HULDENBERG,VLAAMS-BRABANT
3050,Oud-Heverlee,Neen,OUD-HEVERLEE,VLAAMS-BRABANT
3051,Sint-Joris-Weert,Ja,OUD-HEVERLEE,VLAAMS-BRABANT
3052,Blanden,Ja,OUD-HEVERLEE,VLAAMS-BRABANT
3053,Haasrode,Ja,OUD-HEVERLEE,VLAAMS-BRABANT
3054,Vaalbeek,Ja,OUD-HEVERLEE,VLAAMS-BRABANT
3060,Bertem,Neen,BERTEM,VLAAMS-BRABANT
3060,Korbeek-Dijle,Ja,BERTEM,VLAAMS-BRABANT
3061,Leefdaal,Ja,BERTEM,VLAAMS-BRABANT
3070,Kortenberg,Neen,KORTENBERG,VLAAMS-BRABANT
3071,Erps-Kwerps,Ja,KORTENBERG,VLAAMS-BRABANT
3078,Everberg,Ja,KORTENBERG,VLAAMS-BRABANT
3078,Meerbeek,Ja,KORTENBERG,VLAAMS-BRABANT
3080,Duisburg,Ja,TERVUREN,VLAAMS-BRABANT
3080,Tervuren,Neen,TERVUREN,VLAAMS-BRABANT
3080,Vossem,Ja,TERVUREN,VLAAMS-BRABANT
3090,Overijse,Neen,OVERIJSE,VLAAMS-BRABANT
3110,Rotselaar,Neen,ROTSELAAR,VLAAMS-BRABANT
3111,Wezemaal,Ja,ROTSELAAR,VLAAMS-BRABANT
3118,Werchter,Ja,ROTSELAAR,VLAAMS-BRABANT
3120,Tremelo,Neen,TREMELO,VLAAMS-BRABANT
3128,Baal,Ja,TREMELO,VLAAMS-BRABANT
3130,Begijnendijk,Neen,BEGIJNENDIJK,VLAAMS-BRABANT
3130,Betekom,Ja,BEGIJNENDIJK,VLAAMS-BRABANT
3140,Keerbergen,Neen,KEERBERGEN,VLAAMS-BRABANT
3150,Haacht,Neen,HAACHT,VLAAMS-BRABANT
3150,Tildonk,Ja,HAACHT,VLAAMS-BRABANT
3150,Wespelaar,Ja,HAACHT,VLAAMS-BRABANT
3190,Boortmeerbeek,Neen,BOORTMEERBEEK,VLAAMS-BRABANT
3191,Hever,Ja,BOORTMEERBEEK,VLAAMS-BRABANT
3200,Aarschot,Neen,AARSCHOT,VLAAMS-BRABANT
3200,Gelrode,Ja,AARSCHOT,VLAAMS-BRABANT
3201,Langdorp,Ja,AARSCHOT,VLAAMS-BRABANT
3202,Rillaar,Ja,AARSCHOT,VLAAMS-BRABANT
3210,Linden,Ja,LUBBEEK,VLAAMS-BRABANT
3210,Lubbeek,Neen,LUBBEEK,VLAAMS-BRABANT
3211,Binkom,Ja,LUBBEEK,VLAAMS-BRABANT
3212,Pellenberg,Ja,LUBBEEK,VLAAMS-BRABANT
3220,Holsbeek,Neen,HOLSBEEK,VLAAMS-BRABANT
3220,Kortrijk-Dutsel,Ja,HOLSBEEK,VLAAMS-BRABANT
3220,Sint-Pieters-Rode,Ja,HOLSBEEK,VLAAMS-BRABANT
3221,Nieuwrode,Ja,HOLSBEEK,VLAAMS-BRABANT
3270,Scherpenheuvel,Ja,SCHERPENHEUVEL-ZICHEM,VLAAMS-BRABANT
3271,Averbode,Ja,SCHERPENHEUVEL-ZICHEM,VLAAMS-BRABANT
3271,Zichem,Ja,SCHERPENHEUVEL-ZICHEM,VLAAMS-BRABANT
3272,Messelbroek,Ja,SCHERPENHEUVEL-ZICHEM,VLAAMS-BRABANT
3272,Testelt,Ja,SCHERPENHEUVEL-ZICHEM,VLAAMS-BRABANT
3290,Deurne,Ja,DIEST,VLAAMS-BRABANT
3290,Diest,Neen,DIEST,VLAAMS-BRABANT
3290,Schaffen,Ja,DIEST,VLAAMS-BRABANT
3290,Webbekom,Ja,DIEST,VLAAMS-BRABANT
3293,Kaggevinne,Ja,DIEST,VLAAMS-BRABANT
3294,Molenstede,Ja,DIEST,VLAAMS-BRABANT
3300,Bost,Ja,TIENEN,VLAAMS-BRABANT
3300,Goetsenhoven,Ja,TIENEN,VLAAMS-BRABANT
3300,Hakendover,Ja,TIENEN,VLAAMS-BRABANT
3300,Kumtich,Ja,TIENEN,VLAAMS-BRABANT
3300,Oorbeek,Ja,TIENEN,VLAAMS-BRABANT
3300,Oplinter,Ja,TIENEN,VLAAMS-BRABANT
3300,Sint-Margriete-Houtem,Ja,TIENEN,VLAAMS-BRABANT
3300,Tienen,Neen,TIENEN,VLAAMS-BRABANT
3300,Vissenaken,Ja,TIENEN,VLAAMS-BRABANT
3320,Hoegaarden,Neen,HOEGAARDEN,VLAAMS-BRABANT
3320,Meldert,Ja,HOEGAARDEN,VLAAMS-BRABANT
3321,Outgaarden,Ja,HOEGAARDEN,VLAAMS-BRABANT
3350,Drieslinter,Ja,LINTER,VLAAMS-BRABANT
3350,Linter,Neen,LINTER,VLAAMS-BRABANT
3350,Melkwezer,Ja,LINTER,VLAAMS-BRABANT
3350,Neerhespen,Ja,LINTER,VLAAMS-BRABANT
3350,Neerlinter,Ja,LINTER,VLAAMS-BRABANT
3350,Orsmaal-Gussenhoven,Ja,LINTER,VLAAMS-BRABANT
3350,Overhespen,Ja,LINTER,VLAAMS-BRABANT
3350,Wommersom,Ja,LINTER,VLAAMS-BRABANT
3360,Bierbeek,Neen,BIERBEEK,VLAAMS-BRABANT
3360,Korbeek-Lo,Ja,BIERBEEK,VLAAMS-BRABANT
3360,Lovenjoel,Ja,BIERBEEK,VLAAMS-BRABANT
3360,Opvelp,Ja,BIERBEEK,VLAAMS-BRABANT
3370,Boutersem,Neen,BOUTERSEM,VLAAMS-BRABANT
3370,Kerkom,Ja,BOUTERSEM,VLAAMS-BRABANT
3370,Neervelp,Ja,BOUTERSEM,VLAAMS-BRABANT
3370,Roosbeek,Ja,BOUTERSEM,VLAAMS-BRABANT
3370,Vertrijk,Ja,BOUTERSEM,VLAAMS-BRABANT
3370,Willebringen,Ja,BOUTERSEM,VLAAMS-BRABANT
3380,Bunsbeek,Ja,GLABBEEK,VLAAMS-BRABANT
3380,Glabbeek,Neen,GLABBEEK,VLAAMS-BRABANT
3381,Kapellen,Ja,GLABBEEK,VLAAMS-BRABANT
3384,Attenrode,Ja,GLABBEEK,VLAAMS-BRABANT
3390,Houwaart,Ja,TIELT-WINGE,VLAAMS-BRABANT
3390,Sint-Joris-Winge,Ja,TIELT-WINGE,VLAAMS-BRABANT
3390,Tielt,Ja,TIELT-WINGE,VLAAMS-BRABANT
3391,Meensel-Kiezegem,Ja,TIELT-WINGE,VLAAMS-BRABANT
3400,Eliksem,Ja,LANDEN,VLAAMS-BRABANT
3400,Ezemaal,Ja,LANDEN,VLAAMS-BRABANT
3400,Laar,Ja,LANDEN,VLAAMS-BRABANT
3400,Landen,Neen,LANDEN,VLAAMS-BRABANT
3400,Neerwinden,Ja,LANDEN,VLAAMS-BRABANT
3400,Overwinden,Ja,LANDEN,VLAAMS-BRABANT
3400,Rumsdorp,Ja,LANDEN,VLAAMS-BRABANT
3400,Wange,Ja,LANDEN,VLAAMS-BRABANT
3401,Waasmont,Ja,LANDEN,VLAAMS-BRABANT
3401,Walsbets,Ja,LANDEN,VLAAMS-BRABANT
3401,Walshoutem,Ja,LANDEN,VLAAMS-BRABANT
3401,Wezeren,Ja,LANDEN,VLAAMS-BRABANT
3404,Attenhoven,Ja,LANDEN,VLAAMS-BRABANT
3404,Neerlanden,Ja,LANDEN,VLAAMS-BRABANT
3440,Budingen,Ja,ZOUTLEEUW,VLAAMS-BRABANT
3440,Dormaal,Ja,ZOUTLEEUW,VLAAMS-BRABANT
3440,Halle-Booienhoven,Ja,ZOUTLEEUW,VLAAMS-BRABANT
3440,Helen-Bos,Ja,ZOUTLEEUW,VLAAMS-BRABANT
3440,Zoutleeuw,Neen,ZOUTLEEUW,VLAAMS-BRABANT
3450,Geetbets,Neen,GEETBETS,VLAAMS-BRABANT
3450,Grazen,Ja,GEETBETS,VLAAMS-BRABANT
3454,Rummen,Ja,GEETBETS,VLAAMS-BRABANT
3460,Assent,Ja,BEKKEVOORT,VLAAMS-BRABANT
3460,Bekkevoort,Neen,BEKKEVOORT,VLAAMS-BRABANT
3461,Molenbeek-Wersbeek,Ja,BEKKEVOORT,VLAAMS-BRABANT
3470,Kortenaken,Neen,KORTENAKEN,VLAAMS-BRABANT
3470,Ransberg,Ja,KORTENAKEN,VLAAMS-BRABANT
3470,Sint-Margriete-Houtem,Ja,KORTENAKEN,VLAAMS-BRABANT
3471,Hoeleden,Ja,KORTENAKEN,VLAAMS-BRABANT
3472,Kersbeek-Miskom,Ja,KORTENAKEN,VLAAMS-BRABANT
3473,Waanrode,Ja,KORTENAKEN,VLAAMS-BRABANT
3500,Hasselt,Neen,HASSELT,LIMBURG
3500,Sint-Lambrechts-Herk,Ja,HASSELT,LIMBURG
3501,Wimmertingen,Ja,HASSELT,LIMBURG
3510,Kermt,Ja,HASSELT,LIMBURG
3510,Spalbeek,Ja,HASSELT,LIMBURG
3511,Kuringen,Ja,HASSELT,LIMBURG
3511,Stokrooie,Ja,HASSELT,LIMBURG
3512,Stevoort,Ja,HASSELT,LIMBURG
3520,Zonhoven,Neen,ZONHOVEN,LIMBURG
3530,Helchteren,Ja,HOUTHALEN-HELCHTEREN,LIMBURG
3530,Houthalen,Ja,HOUTHALEN-HELCHTEREN,LIMBURG
3540,Berbroek,Ja,HERK-DE-STAD,LIMBURG
3540,Donk,Ja,HERK-DE-STAD,LIMBURG
3540,Herk-de-Stad,Neen,HERK-DE-STAD,LIMBURG
3540,Schulen,Ja,HERK-DE-STAD,LIMBURG
3545,Halen,Neen,HALEN,LIMBURG
3545,Loksbergen,Ja,HALEN,LIMBURG
3545,Zelem,Ja,HALEN,LIMBURG
3550,Heusden,Ja,HEUSDEN-ZOLDER,LIMBURG
3550,Heusden-Zolder,Neen,HEUSDEN-ZOLDER,LIMBURG
3550,Zolder,Ja,HEUSDEN-ZOLDER,LIMBURG
3560,Linkhout,Ja,LUMMEN,LIMBURG
3560,Lummen,Neen,LUMMEN,LIMBURG
3560,Meldert,Ja,LUMMEN,LIMBURG
3570,Alken,Neen,ALKEN,LIMBURG
3580,Beringen,Neen,BERINGEN,LIMBURG
3581,Beverlo,Ja,BERINGEN,LIMBURG
3582,Koersel,Ja,BERINGEN,LIMBURG
3583,Paal,Ja,BERINGEN,LIMBURG
3590,Diepenbeek,Neen,DIEPENBEEK,LIMBURG
3600,Genk,Neen,GENK,LIMBURG
3620,Gellik,Ja,LANAKEN,LIMBURG
3620,Lanaken,Neen,LANAKEN,LIMBURG
3620,Neerharen,Ja,LANAKEN,LIMBURG
3620,Veldwezelt,Ja,LANAKEN,LIMBURG
3621,Rekem,Ja,LANAKEN,LIMBURG
3630,Eisden,Ja,MAASMECHELEN,LIMBURG
3630,Leut,Ja,MAASMECHELEN,LIMBURG
3630,Maasmechelen,Neen,MAASMECHELEN,LIMBURG
3630,Mechelen-aan-de-Maas,Ja,MAASMECHELEN,LIMBURG
3630,Meeswijk,Ja,MAASMECHELEN,LIMBURG
3630,Opgrimbie,Ja,MAASMECHELEN,LIMBURG
3630,Vucht,Ja,MAASMECHELEN,LIMBURG
3631,Boorsem,Ja,MAASMECHELEN,LIMBURG
3631,Uikhoven,Ja,MAASMECHELEN,LIMBURG
3640,Kessenich,Ja,KINROOI,LIMBURG
3640,Kinrooi,Neen,KINROOI,LIMBURG
3640,Molenbeersel,Ja,KINROOI,LIMBURG
3640,Ophoven,Ja,KINROOI,LIMBURG
3650,Dilsen,Ja,DILSEN-STOKKEM,LIMBURG
3650,Dilsen-Stokkem,Neen,DILSEN-STOKKEM,LIMBURG
3650,Elen,Ja,DILSEN-STOKKEM,LIMBURG
3650,Lanklaar,Ja,DILSEN-STOKKEM,LIMBURG
3650,Rotem,Ja,DILSEN-STOKKEM,LIMBURG
3650,Stokkem,Ja,DILSEN-STOKKEM,LIMBURG
3660,Opglabbeek,Ja,OUDSBERGEN,LIMBURG
3665,As,Neen,AS,LIMBURG
3668,Niel-bij-As,Ja,AS,LIMBURG
3670,Ellikom,Ja,OUDSBERGEN,LIMBURG
3670,Gruitrode,Ja,OUDSBERGEN,LIMBURG
3670,Meeuwen,Ja,OUDSBERGEN,LIMBURG
3670,Neerglabbeek,Ja,OUDSBERGEN,LIMBURG
3670,Wijshagen,Ja,OUDSBERGEN,LIMBURG
3680,Maaseik,Neen,MAASEIK,LIMBURG
3680,Neeroeteren,Ja,MAASEIK,LIMBURG
3680,Opoeteren,Ja,MAASEIK,LIMBURG
3690,Zutendaal,Neen,ZUTENDAAL,LIMBURG
3700,'s Herenelderen,Ja,TONGEREN,LIMBURG
3700,Berg,Ja,TONGEREN,LIMBURG
3700,Diets-Heur,Ja,TONGEREN,LIMBURG
3700,Haren,Ja,TONGEREN,LIMBURG
3700,Henis,Ja,TONGEREN,LIMBURG
3700,Kolmont,Ja,TONGEREN,LIMBURG
3700,Koninksem,Ja,TONGEREN,LIMBURG
3700,Lauw,Ja,TONGEREN,LIMBURG
3700,Mal,Ja,TONGEREN,LIMBURG
3700,Neerrepen,Ja,TONGEREN,LIMBURG
3700,Nerem,Ja,TONGEREN,LIMBURG
3700,Overrepen,Ja,TONGEREN,LIMBURG
3700,Piringen,Ja,TONGEREN,LIMBURG
3700,Riksingen,Ja,TONGEREN,LIMBURG
3700,Rutten,Ja,TONGEREN,LIMBURG
3700,Sluizen,Ja,TONGEREN,LIMBURG
3700,Tongeren,Neen,TONGEREN,LIMBURG
3700,Vreren,Ja,TONGEREN,LIMBURG
3700,Widooie,Ja,TONGEREN,LIMBURG
3717,Herstappe,Neen,HERSTAPPE,LIMBURG
3720,Kortessem,Neen,KORTESSEM,LIMBURG
3721,Vliermaalroot,Ja,KORTESSEM,LIMBURG
3722,Wintershoven,Ja,KORTESSEM,LIMBURG
3723,Guigoven,Ja,KORTESSEM,LIMBURG
3724,Vliermaal,Ja,KORTESSEM,LIMBURG
3730,Hoeselt,Neen,HOESELT,LIMBURG
3730,Romershoven,Ja,HOESELT,LIMBURG
3730,Sint-Huibrechts-Hern,Ja,HOESELT,LIMBURG
3730,Werm,Ja,HOESELT,LIMBURG
3732,Schalkhoven,Ja,HOESELT,LIMBURG
3740,Beverst,Ja,BILZEN,LIMBURG
3740,Bilzen,Neen,BILZEN,LIMBURG
3740,Eigenbilzen,Ja,BILZEN,LIMBURG
3740,Grote-Spouwen,Ja,BILZEN,LIMBURG
3740,Hees,Ja,BILZEN,LIMBURG
3740,Kleine-Spouwen,Ja,BILZEN,LIMBURG
3740,Mopertingen,Ja,BILZEN,LIMBURG
3740,Munsterbilzen,Ja,BILZEN,LIMBURG
3740,Rijkhoven,Ja,BILZEN,LIMBURG
3740,Rosmeer,Ja,BILZEN,LIMBURG
3740,Waltwilder,Ja,BILZEN,LIMBURG
3742,Martenslinde,Ja,BILZEN,LIMBURG
3746,Hoelbeek,Ja,BILZEN,LIMBURG
3770,Genoelselderen,Ja,RIEMST,LIMBURG
3770,Herderen,Ja,RIEMST,LIMBURG
3770,Kanne,Ja,RIEMST,LIMBURG
3770,Membruggen,Ja,RIEMST,LIMBURG
3770,Millen,Ja,RIEMST,LIMBURG
3770,Riemst,Neen,RIEMST,LIMBURG
3770,Val-Meer,Ja,RIEMST,LIMBURG
3770,Vlijtingen,Ja,RIEMST,LIMBURG
3770,Vroenhoven,Ja,RIEMST,LIMBURG
3770,Zichen-Zussen-Bolder,Ja,RIEMST,LIMBURG
3790,Moelingen,Ja,VOEREN,LIMBURG
3790,Sint-Martens-Voeren,Ja,VOEREN,LIMBURG
3791,Remersdaal,Ja,VOEREN,LIMBURG
3792,Sint-Pieters-Voeren,Ja,VOEREN,LIMBURG
3793,Teuven,Ja,VOEREN,LIMBURG
3798,'s-Gravenvoeren,Ja,VOEREN,LIMBURG
3800,Aalst,Ja,SINT-TRUIDEN,LIMBURG
3800,Brustem,Ja,SINT-TRUIDEN,LIMBURG
3800,Engelmanshoven,Ja,SINT-TRUIDEN,LIMBURG
3800,Gelinden,Ja,SINT-TRUIDEN,LIMBURG
3800,Groot-Gelmen,Ja,SINT-TRUIDEN,LIMBURG
3800,Halmaal,Ja,SINT-TRUIDEN,LIMBURG
3800,Kerkom-bij-Sint-Truiden,Ja,SINT-TRUIDEN,LIMBURG
3800,Ordingen,Ja,SINT-TRUIDEN,LIMBURG
3800,Sint-Truiden,Neen,SINT-TRUIDEN,LIMBURG
3800,Zepperen,Ja,SINT-TRUIDEN,LIMBURG
3803,Duras,Ja,SINT-TRUIDEN,LIMBURG
3803,Gorsem,Ja,SINT-TRUIDEN,LIMBURG
3803,Runkelen,Ja,SINT-TRUIDEN,LIMBURG
3803,Wilderen,Ja,SINT-TRUIDEN,LIMBURG
3806,Velm,Ja,SINT-TRUIDEN,LIMBURG
3830,Berlingen,Ja,WELLEN,LIMBURG
3830,Wellen,Neen,WELLEN,LIMBURG
3831,Herten,Ja,WELLEN,LIMBURG
3832,Ulbeek,Ja,WELLEN,LIMBURG
3840,Bommershoven,Ja,BORGLOON,LIMBURG
3840,Borgloon,Neen,BORGLOON,LIMBURG
3840,Broekom,Ja,BORGLOON,LIMBURG
3840,Gors-Opleeuw,Ja,BORGLOON,LIMBURG
3840,Gotem,Ja,BORGLOON,LIMBURG
3840,Groot-Loon,Ja,BORGLOON,LIMBURG
3840,Haren,Ja,BORGLOON,LIMBURG
3840,Hendrieken,Ja,BORGLOON,LIMBURG
3840,Hoepertingen,Ja,BORGLOON,LIMBURG
3840,Jesseren,Ja,BORGLOON,LIMBURG
3840,Kerniel,Ja,BORGLOON,LIMBURG
3840,Kolmont,Ja,BORGLOON,LIMBURG
3840,Kuttekoven,Ja,BORGLOON,LIMBURG
3840,Rijkel,Ja,BORGLOON,LIMBURG
3840,Voort,Ja,BORGLOON,LIMBURG
3850,Binderveld,Ja,NIEUWERKERKEN,LIMBURG
3850,Kozen,Ja,NIEUWERKERKEN,LIMBURG
3850,Nieuwerkerken,Neen,NIEUWERKERKEN,LIMBURG
3850,Wijer,Ja,NIEUWERKERKEN,LIMBURG
3870,Batsheers,Ja,HEERS,LIMBURG
3870,Bovelingen,Ja,HEERS,LIMBURG
3870,Gutshoven,Ja,HEERS,LIMBURG
3870,Heers,Neen,HEERS,LIMBURG
3870,Heks,Ja,HEERS,LIMBURG
3870,Horpmaal,Ja,HEERS,LIMBURG
3870,Klein-Gelmen,Ja,HEERS,LIMBURG
3870,Mechelen-Bovelingen,Ja,HEERS,LIMBURG
3870,Mettekoven,Ja,HEERS,LIMBURG
3870,Opheers,Ja,HEERS,LIMBURG
3870,Rukkelingen-Loon,Ja,HEERS,LIMBURG
3870,Vechmaal,Ja,HEERS,LIMBURG
3870,Veulen,Ja,HEERS,LIMBURG
3890,Boekhout,Ja,GINGELOM,LIMBURG
3890,Gingelom,Neen,GINGELOM,LIMBURG
3890,Jeuk,Ja,GINGELOM,LIMBURG
3890,Kortijs,Ja,GINGELOM,LIMBURG
3890,Montenaken,Ja,GINGELOM,LIMBURG
3890,Niel-bij-Sint-Truiden,Ja,GINGELOM,LIMBURG
3890,Vorsen,Ja,GINGELOM,LIMBURG
3891,Borlo,Ja,GINGELOM,LIMBURG
3891,Buvingen,Ja,GINGELOM,LIMBURG
3891,Mielen-boven-Aalst,Ja,GINGELOM,LIMBURG
3891,Muizen,Ja,GINGELOM,LIMBURG
3900,Overpelt,Ja,PELT,LIMBURG
3910,Neerpelt,Ja,PELT,LIMBURG
3910,Sint-Huibrechts-Lille,Ja,PELT,LIMBURG
3920,Lommel,Neen,LOMMEL,LIMBURG
3930,Achel,Ja,HAMONT-ACHEL,LIMBURG
3930,Hamont,Ja,HAMONT-ACHEL,LIMBURG
3940,Hechtel,Ja,HECHTEL-EKSEL,LIMBURG
3941,Eksel,Ja,HECHTEL-EKSEL,LIMBURG
3945,Kwaadmechelen,Ja,HAM,LIMBURG
3945,Oostham,Ja,HAM,LIMBURG
3950,Bocholt,Neen,BOCHOLT,LIMBURG
3950,Kaulille,Ja,BOCHOLT,LIMBURG
3950,Reppel,Ja,BOCHOLT,LIMBURG
3960,Beek,Ja,BREE,LIMBURG
3960,Bree,Neen,BREE,LIMBURG
3960,Gerdingen,Ja,BREE,LIMBURG
3960,Opitter,Ja,BREE,LIMBURG
3960,Tongerlo,Ja,BREE,LIMBURG
3970,Leopoldsburg,Neen,LEOPOLDSBURG,LIMBURG
3971,Heppen,Ja,LEOPOLDSBURG,LIMBURG
3980,Tessenderlo,Neen,TESSENDERLO,LIMBURG
3990,Grote-Brogel,Ja,PEER,LIMBURG
3990,Kleine-Brogel,Ja,PEER,LIMBURG
3990,Peer,Neen,PEER,LIMBURG
3990,Wijchmaal,Ja,PEER,LIMBURG
4000,Glain,Ja,LIÈGE,LUIK
4000,Liège,Neen,LIÈGE,LUIK
4000,Rocourt,Ja,LIÈGE,LUIK
4020,Bressoux,Ja,LIÈGE,LUIK
4020,Jupille-sur-Meuse,Ja,LIÈGE,LUIK
4020,Liège,Neen,LIÈGE,LUIK
4020,Wandre,Ja,LIÈGE,LUIK
4030,Grivegnée,Ja,LIÈGE,LUIK
4031,Angleur,Ja,LIÈGE,LUIK
4032,Chênée,Ja,LIÈGE,LUIK
4040,Herstal,Neen,HERSTAL,LUIK
4041,Milmort,Ja,HERSTAL,LUIK
4041,Vottem,Ja,HERSTAL,LUIK
4042,Liers,Ja,HERSTAL,LUIK
4050,Chaudfontaine,Neen,CHAUDFONTAINE,LUIK
4051,Vaux-sous-Chèvremont,Ja,CHAUDFONTAINE,LUIK
4052,Beaufays,Ja,CHAUDFONTAINE,LUIK
4053,Embourg,Ja,CHAUDFONTAINE,LUIK
4099,Liège X,,Liège X,
4100,Boncelles,Ja,SERAING,LUIK
4100,Seraing,Neen,SERAING,LUIK
4101,Jemeppe-sur-Meuse,Ja,SERAING,LUIK
4102,Ougrée,Ja,SERAING,LUIK
4120,Ehein,Ja,NEUPRÉ,LUIK
4120,Rotheux-Rimière,Ja,NEUPRÉ,LUIK
4121,Neuville-en-Condroz,Ja,NEUPRÉ,LUIK
4122,Plainevaux,Ja,NEUPRÉ,LUIK
4130,Esneux,Neen,ESNEUX,LUIK
4130,Tilff,Ja,ESNEUX,LUIK
4140,Dolembreux,Ja,SPRIMONT,LUIK
4140,Gomzé-Andoumont,Ja,SPRIMONT,LUIK
4140,Rouvreux,Ja,SPRIMONT,LUIK
4140,Sprimont,Neen,SPRIMONT,LUIK
4141,Louveigné,Ja,SPRIMONT,LUIK
4160,Anthisnes,Neen,ANTHISNES,LUIK
4161,Villers-aux-Tours,Ja,ANTHISNES,LUIK
4162,Hody,Ja,ANTHISNES,LUIK
4163,Tavier,Ja,ANTHISNES,LUIK
4170,Comblain-au-Pont,Neen,COMBLAIN-AU-PONT,LUIK
4171,Poulseur,Ja,COMBLAIN-AU-PONT,LUIK
4180,Comblain-Fairon,Ja,HAMOIR,LUIK
4180,Comblain-la-Tour,Ja,HAMOIR,LUIK
4180,Hamoir,Neen,HAMOIR,LUIK
4181,Filot,Ja,HAMOIR,LUIK
4190,Ferrières,Neen,FERRIÈRES,LUIK
4190,My,Ja,FERRIÈRES,LUIK
4190,Vieuxville,Ja,FERRIÈRES,LUIK
4190,Werbomont,Ja,FERRIÈRES,LUIK
4190,Xhoris,Ja,FERRIÈRES,LUIK
4210,Burdinne,Neen,BURDINNE,LUIK
4210,Hannêche,Ja,BURDINNE,LUIK
4210,Lamontzée,Ja,BURDINNE,LUIK
4210,Marneffe,Ja,BURDINNE,LUIK
4210,Oteppe,Ja,BURDINNE,LUIK
4217,Héron,Neen,HÉRON,LUIK
4217,Lavoir,Ja,HÉRON,LUIK
4217,Waret-l'Évêque,Ja,HÉRON,LUIK
4218,Couthuin,Ja,HÉRON,LUIK
4219,Acosse,Ja,WASSEIGES,LUIK
4219,Ambresin,Ja,WASSEIGES,LUIK
4219,Meeffe,Ja,WASSEIGES,LUIK
4219,Wasseiges,Neen,WASSEIGES,LUIK
4250,Boëlhe,Ja,GEER,LUIK
4250,Geer,Neen,GEER,LUIK
4250,Hollogne-sur-Geer,Ja,GEER,LUIK
4250,Lens-Saint-Servais,Ja,GEER,LUIK
4252,Omal,Ja,GEER,LUIK
4253,Darion,Ja,GEER,LUIK
4254,Ligney,Ja,GEER,LUIK
4257,Berloz,Neen,BERLOZ,LUIK
4257,Corswarem,Ja,BERLOZ,LUIK
4257,Rosoux-Crenwick,Ja,BERLOZ,LUIK
4260,Avennes,Ja,BRAIVES,LUIK
4260,Braives,Neen,BRAIVES,LUIK
4260,Ciplet,Ja,BRAIVES,LUIK
4260,Fallais,Ja,BRAIVES,LUIK
4260,Fumal,Ja,BRAIVES,LUIK
4260,Ville-en-Hesbaye,Ja,BRAIVES,LUIK
4261,Latinne,Ja,BRAIVES,LUIK
4263,Tourinne,Ja,BRAIVES,LUIK
4280,Abolens,Ja,HANNUT,LUIK
4280,Avernas-le-Bauduin,Ja,HANNUT,LUIK
4280,Avin,Ja,HANNUT,LUIK
4280,Bertrée,Ja,HANNUT,LUIK
4280,Blehen,Ja,HANNUT,LUIK
4280,Cras-Avernas,Ja,HANNUT,LUIK
4280,Crehen,Ja,HANNUT,LUIK
4280,Grand-Hallet,Ja,HANNUT,LUIK
4280,Hannut,Neen,HANNUT,LUIK
4280,Lens-Saint-Remy,Ja,HANNUT,LUIK
4280,Merdorp,Ja,HANNUT,LUIK
4280,Moxhe,Ja,HANNUT,LUIK
4280,Petit-Hallet,Ja,HANNUT,LUIK
4280,Poucet,Ja,HANNUT,LUIK
4280,Thisnes,Ja,HANNUT,LUIK
4280,Trognée,Ja,HANNUT,LUIK
4280,Villers-le-Peuplier,Ja,HANNUT,LUIK
4280,Wansin,Ja,HANNUT,LUIK
4287,Lincent,Neen,LINCENT,LUIK
4287,Pellaines,Ja,LINCENT,LUIK
4287,Racour,Ja,LINCENT,LUIK
4300,Bettincourt,Ja,WAREMME,LUIK
4300,Bleret,Ja,WAREMME,LUIK
4300,Bovenistier,Ja,WAREMME,LUIK
4300,Grand-Axhe,Ja,WAREMME,LUIK
4300,Lantremange,Ja,WAREMME,LUIK
4300,Oleye,Ja,WAREMME,LUIK
4300,Waremme,Neen,WAREMME,LUIK
4317,Aineffe,Ja,FAIMES,LUIK
